sno,sna,sarea,mday,ar,sareaen,snaen,aren,act,srcUpdateTime,updateTime,infoTime,infoDate,Quantity,available_rent_bikes,latitude,longitude,available_return_bikes
500101001,YouBike2.0_捷運科技大樓站,大安區,2026-02-07 17:00:02,復興南路二段235號前,Daan Dist.,YouBike2.0_MRT Technology Bldg. Sta.,No.235， Sec. 2， Fuxing S. Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,28,5,25.02605,121.5436,23
500101002,YouBike2.0_復興南路二段273號前,大安區,2026-02-07 15:50:03,復興南路二段273號西側,Daan Dist.,YouBike2.0_No.273， Sec. 2， Fuxing S. Rd.,No.273， Sec. 2， Fuxing S. Rd. (West),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 15:50:03,2026-02-07,21,6,25.02565,121.54357,15
500101003,YouBike2.0_國北教大實小東側門,大安區,2026-02-07 14:40:03,和平東路二段96巷7號,Daan Dist.,YouBike2.0_NTUE Experiment Elementary School (East),No. 7， Ln. 96， Sec. 2， Heping E. Rd,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 14:40:03,2026-02-07,28,3,25.02429,121.54124,24
500101004,YouBike2.0_和平公園東側,大安區,2026-02-07 17:20:19,和平東路二段118巷33號,Daan Dist.,YouBike2.0_Heping Park (East),No. 33， Ln. 118， Sec. 2， Heping E. Rd,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:20:19,2026-02-07,11,11,25.02351,121.54282,0
500101005,YouBike2.0_辛亥復興路口西北側,大安區,2026-02-07 17:14:16,復興南路二段368號,Daan Dist.,YouBike2.0_Xinhai Fuxing Rd. Intersection (Northwest),No. 368， Sec. 2， Fuxing S. Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:14:16,2026-02-07,16,12,25.02153,121.54299,3
500101006,YouBike2.0_復興南路二段280號前,大安區,2026-02-07 12:50:02,復興南路二段280號,Daan Dist.,YouBike2.0_No. 280， Sec. 2， Fuxing S. Rd.,No. 280， Sec. 2， Fuxing S. Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 12:50:02,2026-02-07,27,16,25.02429,121.54328,11
500101007,YouBike2.0_復興南路二段340巷口,大安區,2026-02-07 15:40:02,復興南路二段342號,Daan Dist.,YouBike2.0_Ln. 340， Sec. 2， Fuxing S. Rd.,No. 342， Sec. 2， Fuxing S. Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 15:40:02,2026-02-07,11,4,25.02253,121.54326,7
500101008,YouBike2.0_新生南路三段52號前,大安區,2026-02-07 16:50:03,新生南路三段52號,Daan Dist.,YouBike2.0_No. 52， Sec. 3， Xinsheng S. Rd.,No. 52， Sec. 3， Xinsheng S. Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:50:03,2026-02-07,17,5,25.02112,121.53407,11
500101009,YouBike2.0_新生南路三段66號前,大安區,2026-02-07 16:31:17,新生南路三段66號東側,Daan Dist.,YouBike2.0_No. 66， Sec. 3， Xinsheng S. Rd.,No. 66， Sec. 3， Xinsheng S. Rd. (East),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:31:17,2026-02-07,16,1,25.01976,121.53384,15
500101010,YouBike2.0_新生南路三段82號前,大安區,2026-02-07 17:28:18,新生南路三段82號,Daan Dist.,YouBike2.0_No. 82， Sec. 3， Xinsheng S. Rd.,No. 82， Sec. 3， Xinsheng S. Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:28:18,2026-02-07,20,20,25.01894,121.53361,0
500101012,YouBike2.0_辛亥路一段30號前,大安區,2026-02-07 17:30:19,辛亥路一段30號,Daan Dist.,YouBike2.0_No. 30， Sec. 1， Xinhai Rd.,No. 30， Sec. 1， Xinhai Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:30:19,2026-02-07,8,8,25.01986,121.52982,0
500101013,YouBike2.0_和平復興路口西北側,大安區,2026-02-07 17:20:19,復興南路二段236號,Daan Dist.,YouBike2.0_Heping Fuxing Rd. Intersection (Northwest),No. 236， Sec. 2， Fuxing S. Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:20:19,2026-02-07,9,9,25.02543,121.54332,0
500101014,YouBike2.0_羅斯福路三段311號前,大安區,2026-02-07 17:00:02,羅斯福路三段311號,Daan Dist.,YouBike2.0_No. 311， Sec. 3， Roosevelt Rd.,No. 311， Sec. 3， Roosevelt Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,11,5,25.01717,121.53202,6
500101015,YouBike2.0_大安運動中心停車場,大安區,2026-02-07 17:05:16,敦南街76巷28號,Daan Dist.,YouBike2.0_Taipei Da-an Sports Center Parking lot,No. 28， Ln. 76， Dunnan St.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:05:16,2026-02-07,19,19,25.02089,121.54697,0
500101016,YouBike2.0_羅斯福路三段245號前,大安區,2026-02-07 17:13:16,羅斯福路三段245號,Daan Dist.,YouBike2.0_No. 245， Sec. 3， Roosevelt Rd.,No. 245， Sec. 3， Roosevelt Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:13:16,2026-02-07,8,6,25.01927,121.52989,1
500101018,YouBike2.0_溫州公園,大安區,2026-02-07 17:30:19,羅斯福路三段283巷11號,Daan Dist.,YouBike2.0_Wenzhou Park,No. 11， Ln. 283， Sec. 3， Roosevelt Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:30:19,2026-02-07,5,1,25.01895,121.53156,3
500101019,YouBike2.0_和平臥龍街口,大安區,2026-02-07 17:19:17,臥龍街1號,Daan Dist.,YouBike2.0_Heping Wolong St. Intersection,No. 1， Wolong St.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:19:17,2026-02-07,24,24,25.024461,121.546705,0
500101020,YouBike2.0_溫州停車場,大安區,2024-11-01 03:48:14,新生南路三段54巷/溫州街口,Daan Dist.,YouBike2.0_Wenzhou Parking Lot,Ln. 54， Sec. 3， Xinsheng S. Rd. & Wenzhou St. Intersection,0,2026-02-07 17:30:52,2026-02-07 17:30:52,2024-11-01 03:48:14,2024-11-01,5,0,25.02093,121.5331,5
500101021,YouBike2.0_銘傳國小側門,大安區,2026-02-07 17:30:19,羅斯福路四段21號旁天橋下,Daan Dist.,YouBike2.0_Taipei Municipal MingChuan Elementary School(Side Gate),No. 21， Sec. 4， Roosevelt Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:30:19,2026-02-07,7,7,25.01385,121.53549,0
500101022,YouBike2.0_捷運公館站(2號出口),大安區,2026-02-07 17:24:18,捷運公館站(2號出口)外側,Daan Dist.,YouBike2.0_MRT Gongguan Sta. (Exit 2),MRT Gongguan Sta. (Exit 2),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:24:18,2026-02-07,99,95,25.01491,121.53438,3
500101023,YouBike2.0_第二學生活動中心,大安區,2026-02-07 17:00:02,羅斯福路四段107號(西南側),Daan Dist.,YouBike2.0_2nd Student Activity Center,No. 107， Sec. 4， Roosevelt Rd.(Southwest),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,87,32,25.01244,121.53661,55
500101024,YouBike2.0_臺灣科技大學正門,大安區,2026-02-07 12:50:02,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),Daan Dist.,YouBike2.0_NTUST(Main Gate),No. 43， Sec. 4， Keelung Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 12:50:02,2026-02-07,50,12,25.01451,121.54142,38
500101025,YouBike2.0_臺灣科技大學側門,大安區,2026-02-07 17:29:16,基隆路四段73巷與基隆路口,Daan Dist.,YouBike2.0_NTUST(Side Gate),Ln. 73， Sec. 4， Keelung Rd. Intersection,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:29:16,2026-02-07,97,1,25.01295,121.53973,95
500101026,YouBike2.0_公館公園,大安區,2026-02-07 14:50:03,羅斯福路四段113巷基隆路四段41巷口,Daan Dist.,YouBike2.0_Gongguan Park,Ln. 113， Sec. 4， Roosevelt Rd. & Ln. 41， Sec. 4， Keelung Rd. Intersection,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 14:50:03,2026-02-07,30,5,25.01137,121.54062,25
500101027,YouBike2.0_臺灣科技大學後門,大安區,2026-02-07 17:00:02,基隆路四段41巷68弄臺科帆船大樓旁,Daan Dist.,YouBike2.0_NTUST(Back Gate),Aly. 68， Ln. 41， Sec. 4， Keelung Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,39,28,25.01182,121.54165,8
500101028,YouBike2.0_臺大醫學院附設癌醫中心,大安區,2026-02-07 16:40:04,基隆路三段155巷57號西側,Daan Dist.,YouBike2.0_NTU Cancer Center,No. 57， Ln. 155， Sec. 3， Keelung Rd.(West),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:40:04,2026-02-07,20,8,25.01426,121.54382,11
500101029,YouBike2.0_臺大環研大樓,大安區,2026-02-07 17:14:16,芳蘭路/基隆路三段155巷口,Daan Dist.,YouBike2.0_NTU Environment Research Building,Fanglan Rd & Ln. 155， Sec. 3， Keelung Rd. Intersection,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:14:16,2026-02-07,41,0,25.01234,121.54503,41
500101030,YouBike2.0_臺大永齡生醫工程館,大安區,2026-02-07 11:50:04,芳蘭路51號西北側,Daan Dist.,YouBike2.0_NTU Yonglin Biomedical Engineering Hall,No. 51， Fanglan Rd.(Northwest),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 11:50:04,2026-02-07,34,2,25.0136,121.54656,32
500101031,YouBike2.0_臺大男七舍前,大安區,2026-02-07 16:50:03,長興街/長興街80巷口西側,Daan Dist.,YouBike2.0_NTU 7th Men's Dorm,Ln. 80， Changxing St. Intersection(West),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:50:03,2026-02-07,20,10,25.01537,121.54698,10
500101032,YouBike2.0_臺大男一舍前,大安區,2026-02-07 16:10:03,長興街50號西北側,Daan Dist.,YouBike2.0_NTU 1st Men's Dorm,No. 50， Changxing St.(Northwest),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:10:03,2026-02-07,61,2,25.01637,121.54535,59
500101033,YouBike2.0_臺大男六舍前,大安區,2026-02-07 17:19:17,大安區長興街31號,Daan Dist.,YouBike2.0_NTU 6th Men's Dorm,No. 31， Changxing St.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:19:17,2026-02-07,40,0,25.01664,121.5452,40
500101034,YouBike2.0_臺大動物醫院前,大安區,2026-02-07 17:11:17,基隆路三段155巷/基隆路四段口,Daan Dist.,YouBike2.0_NTU Veterinary Hospital,Ln. 155， Sec. 3， Keelung Rd. Intersection,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:11:17,2026-02-07,18,0,25.01576,121.54291,18
500101035,YouBike2.0_臺大土木研究大樓前,大安區,2026-02-07 16:10:03,辛亥路三段188號,Daan Dist.,YouBike2.0_NTU Civil Engineering Research Building,No. 188， Sec. 3， Xinhai Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:10:03,2026-02-07,24,16,25.01787,121.5476,7
500101036,YouBike2.0_臺大萬才館前,大安區,2026-02-07 15:24:17,臺大萬才館北側,Daan Dist.,YouBike2.0_NTU Wan Tsai Research Hall,NTU Wan Tsai Research Hall,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 15:24:17,2026-02-07,20,7,25.02032,121.54497,12
500101037,YouBike2.0_臺大國青大樓宿舍前,大安區,2026-02-07 11:10:02,辛亥路三段30號西北側,Daan Dist.,YouBike2.0_NTU Guo - Ching Building,No. 30， Sec. 3， Xinhai Rd.(Northwest),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 11:10:02,2026-02-07,20,3,25.02076,121.54432,15
500101038,YouBike2.0_臺大社科院圖書館前,大安區,2026-02-07 17:00:02,辛亥路與復興南路口西南側,Daan Dist.,YouBike2.0_NTU College of social Sciences Building,Xinhai Fuxing Rd. Intersection (Southwest),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,27,1,25.02101,121.54284,26
